Year,Reference Code,Title in English,Title in Traditional Chinese,Title in Simplified Chinese,Organizations concerned,Declared on,Completed on,File Path (English),File Path (Traditional Chinese),File Path (Simplified Chinese),Report Type,ChineseSpecificDITerm,Google Drive Link (EN),Google Drive Link (TC),Google Drive Link (SC)
,,,招聘行政主任（財務）,,,,2025-04,,www.ombudsman.hk/wp-content/uploads/2025/04/申訴專員公署_TC_招聘行政主任（財務）.pdf,,,,,https://drive.google.com/file/d/1i72VOmF4oAs6MkabH1v63doZiKkrG23s/view?usp=drivesdk,
2024/25,OMB/DI/464,Government's Regulation of Occupational Safety and Health in Construction Industry,政府對建造業職業安全及健康的監管,政府对建造业职业安全及健康的监管,"LD,BD,DEVB,DSD,EMSD,HyD,WSD,CEDD",,2025-03-31,www.ombudsman.hk/wp-content/uploads/2025/04/HKOmbudsman_Direct Investigation_OMB_DI_464_Summary_EN_Government's_Regulation_of_Occupational_Safety_and_Health_in_Construction_Industry.pdf,www.ombudsman.hk/wp-content/uploads/2025/04/申訴專員公署_主動調查_OMB_DI_464_全文_TC_政府對建造業職業安全及健康的監管.pdf,www.ombudsman.hk/wp-content/uploads/2025/04/申诉专员公署_主动调查_OMB_DI_464_全文_SC_政府对建造业职业安全及健康的监管.pdf,DI,,https://drive.google.com/file/d/10t64IQFKVkt93alhNg-6BCIvulk_n9Eo/view?usp=drivesdk,https://drive.google.com/file/d/18L1wVO6UdWGE7oXMIk1WSzrWkPCPD_z3/view?usp=drivesdk,https://drive.google.com/file/d/1w6XR7RFta9mmuYGnd8Y4wqoD1F8MUXcR/view?usp=drivesdk
2024/25,OMB/DI/478,Housing Department's Management of Public Housing Estates: Illegal Parking,房屋署對公共屋邨的管理：違例泊車,房屋署对公共屋邨的管理:违例泊车,"HD,HKPF,HA",2024-12-17,2025-03-11,www.ombudsman.hk/wp-content/uploads/2025/03/HKOmbudsman_Direct Investigation_OMB_DI_478_Full Report_HD_EN_Housing_Department's_Management_of_Public_Housing_Estates:_Illegal_Parking.pdf,www.ombudsman.hk/wp-content/uploads/2025/03/申訴專員公署_主動調查_OMB_DI_478_全文_HD_TC_房屋署對公共屋邨的管理：違例泊車.pdf,www.ombudsman.hk/wp-content/uploads/2025/03/申诉专员公署_主动调查_OMB_DI_478_全文_HD_SC_房屋署对公共屋邨的管理:违例泊车.pdf,DI,主動調查,https://drive.google.com/file/d/1bk6QAUkFxmzV-Im1hD6YYgVkG8nNDUwB/view?usp=drivesdk,https://drive.google.com/file/d/1CxSYhoICmYan3i6CCUgS-W-17WN2Mu--/view?usp=drivesdk,https://drive.google.com/file/d/1_tncUe3bN1IO0jvhVk-7-a344b6tPM_X/view?usp=drivesdk
2024/25,OMB/DI/473,"Government's Arrangements for Recovery, Refurbishment and Reallocation of Public Rental Housing Flats",當局收回、翻新及重新編配公屋單位的安排,当局收回、翻新及重新编配公屋单位的安排,HD,2024,2025-02-18,"www.ombudsman.hk/wp-content/uploads/2025/02/HKOmbudsman_Direct Investigation_OMB_DI_473_Summary_HD_EN_Government's_Arrangements_for_Recovery,_Refurbishment_and_Reallocation_of_Public_Rental_Housing_Flats.pdf",www.ombudsman.hk/wp-content/uploads/2025/02/申訴專員公署_主動調查_OMB_DI_473_全文_HD_TC_當局收回、翻新及重新編配公屋單位的安排.pdf,www.ombudsman.hk/wp-content/uploads/2025/02/申诉专员公署_主动调查_OMB_DI_473_全文_HD_SC_当局收回、翻新及重新编配公屋单位的安排.pdf,DI,,https://drive.google.com/file/d/15I5cOxq9LoXkBe5feMKxHMjxA8tnxibv/view?usp=drivesdk,https://drive.google.com/file/d/1_YuAcWeg9C7wx81Si5dgXrFh1Tv6OuxM/view?usp=drivesdk,https://drive.google.com/file/d/11nxjoIR6pXMNUpVwiElpEvlaaHFOO-18/view?usp=drivesdk
2024/25,OMB/DI/468,Government's Work in Combating Abuse of Public Housing Resources,當局打擊濫用公屋資源的工作,当局打击滥用公屋资源的工作,"HD,TD,SWD,ImmD,WSD",,2025-01-20,www.ombudsman.hk/wp-content/uploads/2025/01/HKOmbudsman_Direct Investigation_OMB_DI_468_Summary_HD_EN_Government's_Work_in_Combating_Abuse_of_Public_Housing_Resources.pdf,www.ombudsman.hk/wp-content/uploads/2025/01/申訴專員公署_主動調查_OMB_DI_468_全文_HD_TC_當局打擊濫用公屋資源的工作.pdf,www.ombudsman.hk/wp-content/uploads/2025/01/申诉专员公署_主动调查_OMB_DI_468_全文_HD_SC_当局打击滥用公屋资源的工作.pdf,DI,,https://drive.google.com/file/d/1jzD4Jito6prSE3_fGKlkvOGQJ7OFsOle/view?usp=drivesdk,https://drive.google.com/file/d/10Psm2S9zl7AoogMQwRh_awUXeZ323PCp/view?usp=drivesdk,https://drive.google.com/file/d/1NcviWXJweXHt2QFMjXPQ9X0YulvN5Gug/view?usp=drivesdk
2024/25,OMB 2024/1834,Tender for operating light refreshment business at a park under Leisure and Cultural Services Department,康樂及文化事務署就轄下某公園小食亭招標事宜,康乐及文化事务署就辖下某公园小食亭招标事宜,"LCSD,RVD",2024-06,2025-01,www.ombudsman.hk/wp-content/uploads/2025/03/HKOmbudsman_Investigation Report_OMB_2024_1834_LCSD_EN_Tender_for_operating_light_refreshment_business_at_a_park_under_Leisure_and_Cultural_Services_Department.pdf,www.ombudsman.hk/wp-content/uploads/2025/03/申訴專員公署_就投訴作出的調查_OMB_2024_1834_LCSD_TC_康樂及文化事務署就轄下某公園小食亭招標事宜.pdf,www.ombudsman.hk/wp-content/uploads/2025/03/申诉专员公署_就投诉作出的调查_OMB_2024_1834_LCSD_SC_康乐及文化事务署就辖下某公园小食亭招标事宜.pdf,Complaint,,https://drive.google.com/file/d/1TfM3XFYxtpyo1oBxSfOTX2TYBJ9kzobT/view?usp=drivesdk,https://drive.google.com/file/d/1xR6y5zKg0OuVcus7kHgF1BEeOYbGr9_N/view?usp=drivesdk,https://drive.google.com/file/d/1Y0JMXNUFDEJ9pZB2dDrlSRDdsXJyyULh/view?usp=drivesdk
2024/25,OMB 2024/2261,Tender for operating restaurant business at a swimming pool under Leisure and Cultural Services Department,康樂及文化事務署轄下游泳池食肆招標事宜,康乐及文化事务署就辖下某游泳池食肆招标事宜,LCSD,2024-06,2025-01,www.ombudsman.hk/wp-content/uploads/2025/03/HKOmbudsman_Investigation Report_OMB_2024_2261_LCSD_EN_Tender_for_operating_restaurant_business_at_a_swimming_pool_under_Leisure_and_Cultural_Services_Department.pdf,www.ombudsman.hk/wp-content/uploads/2025/03/申訴專員公署_就投訴作出的調查_OMB_2024_2261_LCSD_TC_康樂及文化事務署轄下游泳池食肆招標事宜.pdf,www.ombudsman.hk/wp-content/uploads/2025/03/申诉专员公署_就投诉作出的调查_OMB_2024_2261_摘要_LCSD_SC_康乐及文化事务署就辖下某游泳池食肆招标事宜.pdf,Complaint,,https://drive.google.com/file/d/1bLpIfYS00q061uH30enGGe1UD0KXFbnY/view?usp=drivesdk,https://drive.google.com/file/d/1Qv6uzvVnvar3XME84gX6cFmvYcYmEDrZ/view?usp=drivesdk,https://drive.google.com/file/d/1ktOCHK-eQ9rzj5plw4CSromihaPqM6C2/view?usp=drivesdk
2024/25,OMB/DI/472,Government's Provision of Public Services Relating to the After-death Arrangements,政府提供辦理先人過世手續相關的公共服務,政府提供办理先人过世手续相关的公共服务,"FEHD,ImmD,DH,HA",,2024-12-16,www.ombudsman.hk/wp-content/uploads/2024/12/HKOmbudsman_Direct Investigation_OMB_DI_472_Summary_EN_Government's_Provision_of_Public_Services_Relating_to_the_After-death_Arrangements.pdf,www.ombudsman.hk/wp-content/uploads/2024/12/申訴專員公署_主動調查_OMB_DI_472_全文_TC_政府提供辦理先人過世手續相關的公共服務.pdf,www.ombudsman.hk/wp-content/uploads/2024/12/申诉专员公署_主动调查_OMB_DI_472_全文_SC_政府提供办理先人过世手续相关的公共服务.pdf,DI,,https://drive.google.com/file/d/16Anlf0wZJBavUKCAFsx1JHm7JSD5xGBd/view?usp=drivesdk,https://drive.google.com/file/d/1FPuJcwHjN6hbokMOwXBlmkDqCP9Y_xvg/view?usp=drivesdk,https://drive.google.com/file/d/1Ki7kPxZYDIQM7XrWvMM-poCLPXSrk9_o/view?usp=drivesdk
2024/25,OMB/DI/475,Leisure and Cultural Services Department's Handling of Obstructions to Passageways by Bicycles Owned by Operators of Bicycle Rental Services,康樂及文化事務署處理單車租賃服務營辦商的單車阻塞通道問題,康乐及文化事务署处理单车租赁服务营办商的单车阻塞通道问题,LCSD,,2024-11-18,www.ombudsman.hk/wp-content/uploads/2024/11/HKOmbudsman_Direct Investigation_OMB_DI_475_Summary_LCSD_EN_Leisure_and_Cultural_Services_Department's_Handling_of_Obstructions_to_Passageways_by_Bicycles_Owned_by_Operators_of_Bicycle_Rental_Services.pdf,www.ombudsman.hk/wp-content/uploads/2024/11/申訴專員公署_主動調查_OMB_DI_475_全文_LCSD_TC_康樂及文化事務署處理單車租賃服務營辦商的單車阻塞通道問題.pdf,www.ombudsman.hk/wp-content/uploads/2024/11/申诉专员公署_主动调查_OMB_DI_475_全文_LCSD_SC_康乐及文化事务署处理单车租赁服务营办商的单车阻塞通道问题.pdf,DI,,https://drive.google.com/file/d/1WfJsIgYFkk-vphIDDk29e63rc5CMLZRd/view?usp=drivesdk,https://drive.google.com/file/d/1uF2AOfqgr9xz_ATVHfCeT3JonfRyuY5g/view?usp=drivesdk,https://drive.google.com/file/d/1_m8ZNQi_MTfxK9Db-0_KvGFplTOsnu2v/view?usp=drivesdk
2024/25,OMB/DI/470,Enforcement by Planning Department and Lands Department against Unauthorised Land Developments,規劃署和地政總署對土地違例發展的執管,规划署和地政总署对土地违例发展的执管,"PlanD,LandsD,AFCD",,2024-10-21,www.ombudsman.hk/wp-content/uploads/2024/10/HKOmbudsman_Direct Investigation_OMB_DI_470_Summary_EN_Enforcement_by_Planning_Department_and_Lands_Department_against_Unauthorised_Land_Developments.pdf,"www.ombudsman.hk/wp-content/uploads/2024/10/申訴專員公署_主動調查_OMB_DI_470_全文_PlanD,LandsD_TC_規劃署和地政總署對土地違例發展的執管.pdf",www.ombudsman.hk/wp-content/uploads/2024/10/申诉专员公署_主动调查_OMB_DI_470_全文_SC_规划署和地政总署对土地违例发展的执管.pdf,DI,,https://drive.google.com/file/d/11cxOWDZ76uq4KkWKsEyU28gCrwSD1hOu/view?usp=drivesdk,https://drive.google.com/file/d/1tsEin2JOAsGRZx4hxDlpiTbq3WyhVpT9/view?usp=drivesdk,https://drive.google.com/file/d/18ZlHJ2wCOcVEa4OnldTKb1qIvqAOoaIA/view?usp=drivesdk
